sentence	label
[PERSON] [ORGANIZATION] . 	0
It 'll be history . 	0
Oh a three . 	0
Our lucky friend from [PERSON] gets a big fat queen with his pair of sixes . 	0
That was a challenge and a matter of pride ... to see that it was robbed . And so on and so on . 	0
You see I 've been where I 'm going . 	0
You let him fake you out . 	0
I 'm looking for the baggage car . 	0
Well that 's fine . 	0
You 'll never guess where we 've just been . 	0
[LOCATION] of queens . 	0
I know . 	0
Hey you know there was a guy in the game that accused me of juicing the deck ? 	0
Everything went slicker than ... 	0
You 'll need more than just two of us . 	0
Here you are [PERSON] . 	0
He never has been . 	0
[LOCATION] bottles fists knives clubs ... all the same to me . 	0
One-seventy-five . 	0
Just deal [ORGANIZATION] . 	0
You cold ? 	0
You mind shutting those drapes ? 	0
Call it . 	0
[LOCATION] . 	0
[LOCATION] ? 	0
He 'll take out [PERSON] first . 	0
Do you approve ? 	0
[LOCATION] help your mother with the dishes . 	0
You do n't ever change do you ? 	0
Queen four 10 king king ... and an ace to the man . 	0
You gon na bust everybody or am I ? 	0
Thanks [PERSON] . 	0
Cost you a grand . 	0
We do n't bother them nor [PERSON] and they do n't bother us . 	0
He do n't chase the [ORGANIZATION] nowhere . 	0
Three of hearts . 	0
My pleasure . 	0
[LOCATION] century science ... 	0
Before I raised ? 	0
I understand that stud poker is your game . 	0
I think we 'll go to [LOCATION] . 	0
To lose . 	0
Well I 'd say the [LOCATION] money will probably lay about ... oh 8-5 on [LOCATION] . 	0
Sit down . 	0
These rooms have been contracted for the ante will be $ 10 per chair per day . 	0
Well ? 	0
[LOCATION] . 	0
No I 'm going . 	0
Sir a consolation from the town . 	0
Of course towns do change though do n't they ? 	0
[LOCATION] . 	0
Thanks Kid . 	0
You sure ? 	0
[LOCATION] bet . 	0
Where 's the Shooter ? 	0
That right [PERSON] ? 	0
Thank you for the privilege sir . 	0
Maybe two or three hands at the right time . 	0
[LOCATION] of jacks . 	0
But you 've got to remember that he 's the man see ? 	0
That plan ! 	0
Yeah you told me Shooter . 	0
It does n't matter . 	0
How 's that ? 	0
[LOCATION] in there ! 	0
The [ORGANIZATION] could break lucky and stay ahead the whole game could n't he ? 	0
How are yours [PERSON] ? 	0
Later . 	0
A regular Tintoretto . 	0
Why not ? 	0
[LOCATION] to you Philly . 	0
You do n't get around these parts much anymore . 	0
What do you want [PERSON] ? 	0
Well are you coming back ? 	0
[LOCATION] this . 	0
Everybody else did it . 	0
Yeah . 	0
Let 's go to [LOCATION] . 	0
So when I walk in I gab with him . 	0
Likewise . 	0
You 'll just have to use it . 	0
[PERSON] [PERSON] . 	0
Once upon a time ... down in [ORGANIZATION] ... there was this bad little girl named [PERSON] . 	0
What 's the action ? 	0
What do you mean call ? 	0
What 's in the pot ? 	0
I do n't know how good they are . 	0
It 's nothing . 	0
[LOCATION] . 	0
[LOCATION] . 	0
Well are you aware of the circumstances on which she left [PERSON] ? 	0
Yes I 'm aware . 	0
You just think that over . 	0
Bet the pot 2700 . 	0
[LOCATION] . 	0
[LOCATION] why do n't you go out to the kitchen and bring us some of those ... fancy little hors d'oeuvres . 	0
You ca n't blame them can you ? 	0
[LOCATION] of sevens says ... 	0
If you can call you can beat . 	0
Thank you . 	0
Also . 	0
Give the old man a drink . 	0
Yes I 'll do that . 	0
Let 's go to [LOCATION] . 	0
You remember [PERSON] do n't you ? 	0
I had them both beat with a pair of fives . 	0
Mrs. Hoban . 	0
Since that game in [LOCATION] . 	0
Now Kid what 's your game ? 	0
Just fine . 	0
Get a case of cartridges from [LOCATION] . 	0
You lose the feel of the cards when you have so much action ... day in and day out . 	0
Deal them up Shooter . 	0
Gentlemen this game is five-card stud poker . 	0
Get along with it . 	0
[LOCATION] tell you about [PERSON] ? 	0
[PERSON] [ORGANIZATION] ! 	0
Thirty-seven if memory serves . 	0
Why that 's exactly what I was about to do sugar . 	0
Betting interest that is . 	0
What you got on me Kid ? 	0
[LOCATION] at that ! 	0
Queens check to the possibles . 	0
How 'd you like to spend the rest of your life with [PERSON] ? 	0
There you go all serious all of a sudden . 	0
That 's why they chose you to give them a fair deal . 	0
How the town treating you ? 	0
He should n't have eh ? 	0
That 's another question . 	0
[LOCATION] there . 	0
[LOCATION] or [PERSON] ? 	0
Alice Lee honey would you like to freshen up [PERSON] 's drink a little bit ? 	0
I 'll call your 1500 and raise you ... 2500 . 	0
Why do n't you just go ? 	0
Well I mean ... when you admire a man you just go all out . 	0
[LOCATION] high . 	0
Losing that posse . 	0
It 's just the beginning . 	0
A little more bourbon [PERSON] ? 	0
Across the river . 	0
I wo n't tell it anymore . 	0
Do n't lose no sweat Kid . 	0
That 's when they start to drift away . 	0
You can check and raise . 	0
Thanks for the entertainment gentlemen . 	0
No not today . 	0
Will you lend me a bullet ? 	0
You know that was a sweet thing you did to the Pig with those jacks . 	0
You and [PERSON] use to play when you were children ? 	0
Well your stakes are my pleasure sir . 	0
What a time for you to fall off the wagon . 	0
Oh hi sugar . 	0
What do you keep betting out for ? 	0
What 's happening ? 	0
Me Pig [PERSON] and [PERSON] . 	0
They 're red bloodshot . 	0
Well now where are you going ? 	0
No look Slade ... 	0
[LOCATION] straight . 	0
And [PERSON] and me just carried them right here . 	0
No you 're not . 	0
Help me clear this table . 	0
You will ? 	0
Fog your mind so you ca n't remember a darn thing . 	0
[LOCATION] of nines . 	0
I 'll see you later Shooter . 	0
[PERSON] 's wife wanted to go . 	0
Well it 's time . 	0
Take it [PERSON] . 	0
You know I 've got something . 	0
Thirty-seven . 	0
Yes I 'm playing tonight . 	0
What 's all the ... 	0
Can I have my store back now that she 's going ? 	0
Do any good ? 	0
Comes from one of the richest families in the state . 	0
[LOCATION] of jacks bets . 	0
Eight o'clock Monday apartment 2A at the old Lafayette . 	0
[LOCATION] evening gentlemen . 	0
[LOCATION] here to play . 	0
You did . 	0
Yeah I saw it coming . 	0
We can use [PERSON] 's own plan for train robbery . 	0
My pleasure [PERSON] . 	0
Just the way I figured it 'd be . 	0
[LOCATION] . 	0
Well ? 	0
You want a job ? 	0
[LOCATION] . 	0
That 's the biggest pot yet . 	0
Nearer 40 or 50000 I 'd say . 	0
Unless you wanted me to stay . 	0
[LOCATION] and the husbands are happy . 	0
[LOCATION] 's bet . 	0
Well why do n't we make it about ... lunchtime . 	0
Well that 's pretty sweet . 	0
Ten . 	0
You gon na play the [ORGANIZATION] ? 	0
Long enough to think of her almost fondly . 	0
I 'll see you later . 	0
Well that makes me about even gentlemen . 	0
You know how it is . 	0
What was the movie about ? 	0
Eights . 	0
The [ORGANIZATION] . 	0
I do n't need marked cards to beat you pal . 	0
Any card you want . 	0
[LOCATION] those drapes ! 	0
[LOCATION] celebrity I understand . 	0
I 'm in . 	0
[LOCATION] of sevens says 1500 bucks . 	0
That butcher Eggers he 'll take 35 head ... and butcher them himself . 	0
Well I guess you might say that yes . 	0
Well ... just the two of us Kid . 	0
Take me around the block a couple of times . 	0
Ask him how we 'll get outta here . 	0
Well the [ORGANIZATION] hit him once and he ai n't come back yet . 	0
Regardless . 	0
[LOCATION] . 	0
What other reason could there be ? 	0
And if I refuse to sign it ? 	0
How do you do Mrs. Rudd ? 	0
I ca n't . 	0
Or did n't you know [PERSON] ? 	0
Playing with amateurs huh ? 	0
[PERSON] Shooter ... 	0
I want everything he 's got . 	0
I do n't believe that beats three fours do it ? 	0
You do n't want me ... around your neck . 	0
Six days . 	0
Ai n't my game [PERSON] . 	0
No such thing . 	0
[LOCATION] to the king . 	0
There 's a bus that leaves tonight . 	0
Aces up . 	0
Two and a half . 	0
Well I do declare [LOCATION] . 	0
It 's out of the question [PERSON] . 	0
I call . 	0
What happened ? 	0
Who 's in charge ? 	0
Well I 'm glad we had this little chat . 	0
Right there ... in those big blue eyes . 	0
If you did n't try new things there 'd be no progress . 	0
He 's got an awful lot to protect . 	0
All right then . 	0
All right . 	0
[PERSON] [ORGANIZATION] . 	0
[LOCATION] honey . 	0
You got old . 	0
[LOCATION] deck please . 	0
Stay here . 	0
Rob a train . 	0
[LOCATION] . 	0
Hold these for me till I get some money . 	0
That right mister ? 	0
[LOCATION] pastures await the tired sinner and honey flows like water . 	0
There 's plenty of money on you too . 	0
I 'm against it . 	0
Not money and not a job ... 	0
There 's an awful lot of interest developing in that game . 	0
Who 's afraid of a little booger ? 	0
They 've been running right by me all day Kid . 	0
You got something to say about our plan ? 	0
Some money ? 	0
Yeah let 's go a little while . 	0
Do n't let anybody ever tell you different . 	0
What have you got ? 	0
[LOCATION] flush . 	0
You know that valise of mine ? 	0
I 've been building a reputation for 25 years . 	0
I 'm all packed . 	0
[LOCATION] . 	0
Seven to the queen . 	0
Oh just things that little girls dream about . 	0
I fold . 	0
[LOCATION] . 	0
All that dust at the pit . 	0
The creatures were about uh four foot . 	0
A tyre iron . 	0
One last question . 	0
That is uh ... 	0
[LOCATION] ! 	0
Financing this is [PERSON] ! 	0
Oh not really . 	0
Where are you ? 	0
[PERSON] was producing a motion picture his first . 	0
You can put that away . 	0
I do n't believe I do . 	0
What 's the occasion ? 	0
[LOCATION] sir . I 'm just searching the corporal . 	0
This is our skipper Lt. [PERSON] . 	0
All other movements are restricted . 	0
President [PERSON] ? 	0
How are we gon na do that ? 	0
Dig me out a flying suit . 	0
So now then . This Vago in the story you told about [PERSON] . 	0
How are you doing ? 	0
I do n't have any combat training I do n't think ... 	0
The pressure is described by this isobaric curve which is forcing this low trough off to the east . 	0
That 's where I got it . 	0
Who ? 	0
What ? 	0
Let 's go . 	0
It is about 900000 euros . 	0
Got an address ? 	0
[PERSON] ? 	0
Is that everything sir ? - That 's everything . 	0
[PERSON] [ORGANIZATION] . 	0
Yes your company . 	0
Had a little chat . 	0
And me . 	0
I need you to do something for me first . 	0
You know something can happen a little thing and everything changes . 	0
The cheapest ? 	0
It ai n't no law to duck . 	0
[LOCATION] . 	0
Like me in my shoes and on display for men and women to examine for different reasons . 	0
[LOCATION] . 	0
What are we talking about ? 	0
I went to see you at work . 	0
When he is returned to the federal prison [PERSON] will be placed under ... 	0
Well actually ... 	0
And your children ? 	0
That is all . 	0
All sorts : computing electronics mechanics ... 	0
Two motors pulled over a truck stumbled right in the middle of a narc stakeout . 	0
Yeah I noticed . 	0
Big crack . 	0
[LOCATION] ! Oh father mayii ! 	0
No I mean in distance . 	0
l thought I was late . 	0
2163 officers and men 541 pounds of rice issued at 4 ounces per man . 	0
You 've come home . 	0
He say he bring him a relative up from [LOCATION] to keep him company . 	0
A good foreign film now and then [LOCATION] or [LOCATION] . 	0
They 're in foreclosure 	0
They 're out there . 	0
In [LOCATION] ? 	0
[LOCATION] . 	0
[PERSON] ? 	0
You 're a dead man when he finds you . 	0
[LOCATION] like you 're off the case . Sure . 	0
Ramos we 're clear ? Clear . 	0
Let 's go . 	0
Would you like that ? 	0
Have you been alerted ? 	0
I 've seen [LOCATION] . 	0
We 'll transition you out . 	0
[PERSON] [ORGANIZATION] . 	0
Something big 's going on there . 	0
[LOCATION] . 	0
It 's a hardened prune . 	0
What just happened ? 	0
He died kind of slow . 	0
Do you ? 	0
[LOCATION] . Thank you . 	0
Hawkins yeah okay . I 'm going hot . 	0
We 're not having dinner tonight ? 	0
A few days . How does look ? 	0
Just telling him you wired the hot plate . 	0
Well gentlemen I shall prepare a statement later . 	0
Say you lovely ladies would n't have seen two little mice running around down there would you ? 	0
There 's a shitload of that . 	0
[LOCATION] clear . 	0
In what context ? 	0
Hey . ... in the [LOCATION] area . 	0
No I did not buy . 	0
I am operating in collusion with the woman [PERSON] . 	0
He resigned from office to join the service . 	0
Do you want that ? 	0
I think [PERSON] does make sense . 	0
The most ironic thing is that the postings were true because [ORGANIZATION] and others from [PERSON] pled guilty to manipulating that particular security . 	0
Stag movies ? 	0
I do n't smoke . Never have . 	0
It 's me Elizabeth from [PERSON] . 	0
This has been officially released . 	0
How do you mean that ? And now you will laugh . 	0
I am easing the fuse in now . 	0
Thank you that 's all . 	0
And we found the murder weapon on him . 	0
Falcons 7 Gems 4 . 	0
I did n't know it was stolen . 	0
Now what do you see [PERSON] ? 	0
I ca n't think why . 	0
[ORGANIZATION] fragments . 	0
To cut an album . I 'm gon na go have some fibroid tumours removed . 	0
[LOCATION] here . 	0
Yeah . 	0
In [LOCATION] . 	0
He forgets the glass he drank from . 	0
For the run of the film you stay with your mother . 	0
We leave that and we pass to the front . 	0
But here ... ! 	0
What ? 	0
Tell me something . 	0
Next thing you know boom . 	0
Ah you should have stuffed her in the car with the friend . 	0
No mission maintained . 	0
I could smell it the first day you were born . 	0
[LOCATION] is ... is in [LOCATION] . 	0
It was all over the 11 o'clock news who [PERSON] was that he was a lawyer for this ... famous gangster named ... 	0
They 're moving to the second level . 	0
That door . 	0
On the international scene the [ORGANIZATION] nuclear power facility has blown its stack irradiating the world 's largest rain forest . 	0
He 's no machine . 	0
Why ? 	0
You repeat yourself . Take a drink my friend and say what you have in your heart . 	0
[LOCATION] 's checking the grenade fragments for prints . 	0
Does n't the eastern flavour come expensive ? 	0
You do n't get it do you ? 	0
Any friend of yours is an enemy of his . 	0
So I imagine you 've heard that I 'm on the outs . 	0
I do the counting around here . 	0
She talked to somebody on the phone and we did n't hear what they said . 	0
He is a scientist . 	0
You saw our I.D . 	0
Here on holiday but seems to be having a bit of car trouble ? 	0
All hands put on battle dress . 	0
I 'm not for talkin ' anymore . 	0
You wan na try that trick ? 	0
We are near . 	0
It 's coming form up there . 	0
Put your hands up . 	0
It made me feel something . 	0
[LOCATION] ! Wait a minute ! 	0
I would n't expect you would . Cdr . 	0
I 'm a little low on maple syrup but I got plenty of raspberry jam which you know a lot of people prefer . 	0
Yeah she got fluent in vodka . 	0
And did you drive here today from [LOCATION] ? 	0
[LOCATION] . Yes . 	0
Its message is important for all of mankind . 	0
I 'll take it under advisement . 	0
I do not even know for what it took away the course . 	0
It 's nice on a clearer night . 	0
I 'm not what is called a civilized man professor . 	0
Join my class ? 	0
[LOCATION] thank you . 	0
Where are you taking me ? 	0
I trust only what I can hold in my hand or see on my horizon . 	0
Just a guy I ran into the other day . 	0
Come on . 	0
After that she 's out . 	0
[LOCATION] junior you can take him . 	0
Got a unanimous vote . 	0
After all an offensive does n't travel like an express train . 	0
Can I get you a drink sir ? 	0
[LOCATION] this is [PERSON] . 	0
Hands up ! 	0
Five minutes to sew that patch on your cuts boy . 	0
[LOCATION] here . 	0
[LOCATION] . 	0
And it was late that night in of all places a gambling casino when I saw [PERSON] again . 	0
[PERSON] ? 	0
Yes Xayide I will make my last wish . 	0
One word from me to [PERSON] and you 're on your way . 	0
You turned in a full circle . 	0
Yo [LOCATION] ! 	0
For 75 the wife can watch . 	0
This is interesting about whales but what about rats ? 	0
So 10 with 26 zeros behind it joules per cubic meter . 	0
Made up some kind of background . 	0
Why dada ? 	0
[PERSON] ? 	0
That 's about 35 40 feet . 	0
She 's the other twin . 	0
Well ... ! 	0
I was not impressed with the [ORGANIZATION] 's thinking . 	0
I wanted to be one of them . 	0
You do look pale . 	0
[PERSON] Marshall there 's a message from [PERSON] . 	0
The time 's hot . 	0
Small green and split three ways . 	0
The secret of my submarine boat And the energy that propels it ? 	0
We are all that remain . 	0
No way . 	0
Eat your pudding [PERSON] . 	0
I was sent out to look for help . 	0
[LOCATION] operator ... operator ... 	0
I was planning on watching cartoons . 	0
[LOCATION] ? Listen . 	0
It 's uncertain who they were . 	0
He 's on every channel . 	0
Is it the office of ... Mr [PERSON] ? 	0
I have to ask for [ORGANIZATION] you for to wait more for some moments for the arrival of the [ORGANIZATION] . 	0
Send this one straight . 	0
Do you think your fiance Prince Ma ... is as handsome as [PERSON] ? 	0
Page two Counsel . 	0
They only send you the check till you testify . 	0
[PERSON] ? Hi . 	0
Thanks but I 'm waiting for a friend . 	0
You ? 	0
[LOCATION] of living among others in this world is presenting the idea that you 're no different . 	0
What can I do ? 	0
I want to introduce you to the boss . 	0
Make a motion for dismissal ? 	0
The way it started is the [LOCATION] airlines 747 was coming from the [LOCATION] going across the [ORGANIZATION] territory . 	0
Point 48 miles . 	0
These are the firearms we use . 	0
About an hour ago . 	0
We need details of the [LOCATION] build-up . 	0
[LOCATION] my gun when you come back ! 	0
The wardrobe is a symbol of how you are . 	0
I was wondering ... 	0
But here we are . 	0
I do n't know . 	0
Thank you [ORGANIZATION] . 	0
But she would n't do it . 	0
The glass was n't there . 	0
[LOCATION] 01 get out of there ! 	0
Since the things are at this moment I keep the houses but the [ORGANIZATION] all keeps the money . 	0
Chappie it 's me . - [LOCATION] . 	0
Look I got my coat . 	0
Take over here [PERSON] . 	0
Remember I 'm the guy who saved you from dreary [LOCATION] . 	0
That 's what it says . 	0
[LOCATION] . 	0
I did n't mean to interrupt anything . 	0
What 's your name ? 	0
It 's the exact same time frame . 	0
They 're looking to buy a ton of swag and ship it out of here in boxcars . 	0
Better search for him Yes ! 	0
I saw a [ORGANIZATION] on TV . 	0
Absolutely [PERSON] President . 	0
Please calm down . 	0
What are you going to do ? 	0
[LOCATION] there ! 	0
[PERSON] Big [LOCATION] wants to see you now . 	0
In October of 2010 [ORGANIZATION] shuts down its adult section and the number of sex ads on Backpage skyrockets . 	0
[LOCATION] ! 	0
We 're coming home and he 's coming around the corner with his sea bag . 	0
Dad who ? 	0
Some things we must assume . 	0
No maybe I do n't . 	0
They 'll run it at night . 	0
[PERSON] [ORGANIZATION] . 	0
Maybe we 'll fly to [PERSON] . 	0
I find them to myself what my conjecture is correct . 	0
[LOCATION] . 200 . Over . 	0
I 'll see you inside . 	0
I really think you should get some sleep . 	0
[LOCATION] has a slightly different view of its interactions with [PERSON] . 	0
Room 606 . Do you have any [LOCATION] food ? 	0
Yes . 	0
[LOCATION] book boy . 	0
Where 's your armband ? - In my pocket . 	0
Where is it ? 	0
It 's [PERSON] . 	0
Come with me . 	0
the last book they read ? 	0
[LOCATION] . 	0
He 's five years old . 	0
He 's still the best candidate around against [PERSON] . 	0
No she is the protegee of my mother . 	0
It 's only on loan . 	0
Well somebody who looks comfortable with a name tag on their pocket . 	0
Unless I 'm mistaken . 	0
No . 	0
So you 're a lawyer now ? 	0
Three pictures one right after another . 	0
Yes ? Have you adhered strictly To your vow of celibacy ? 	0
I am [PERSON] and this is my ... 	0
You know ? I 've been thinking . 	0
I do n't . 	0
I drove here ... 	0
Always totally unlike me . 	0
Where is he ? Right there . 	0
Do you understand that ? 	0
[LOCATION] ? Thirty times ? 	0
Why ? 	0
Oh yeah ? 	0
For the next six months I have to piss in a vial every few days . 	0
You look fine . I feel fine . 	0
Now 1120 from 2200 is $ 1080 even . 	0
[PERSON] [ORGANIZATION] and [ORGANIZATION] . 	0
I 'd like to see [PERSON] Lt. [PERSON] . 	0
Plates . 	0
It says point blank . 	0
Why ? 	0
Signed [PERSON] [ORGANIZATION] Chief of [LOCATION] . 	0
That 's when I get a call from the [ORGANIZATION] Crime [PERSON] . 	0
That 's right . 	0
I beg your pardon ... First things first . 	0
[LOCATION] miehistäsi . 	0
I have known them since I was a very little girl . 	0
[PERSON] [PERSON] and then maybe come back . 	0
[PERSON] [PERSON] you write me a recommendation for something ? 	0
[LOCATION] . 	0
It 's morning . 	0
I told you man . 	0
Take stations . 	0
Markets are in free fall . 	0
Yes . 	0
They are the same . 	0
And setting ' 'em adrift . One of them got through too and they was rescued . 	0
It 's a big nut to crack . 	0
Because thou art the prince of darkness The epitome of all evil . 	0
One last thing . If you could return this to [LOCATION] 's for me please ? 	0
Range 2000 and closing . 	0
[ORGANIZATION] [PERSON] will see you . 	0
For families who ... 	0
More than two ? 	0
What is it Meatball ? 	0
Did you say something Your Majesty ? I shall require more champagne . 	0
That 's what you say . 	0
Tell me Oliver what 's [PERSON] like ? 	0
The name of the throne does n't matter . 	0
We all have our own ways of running a ship . 	0
You have a question ? 	0
Come on Ned . 	0
It was the sun . The sun did it . 	0
Executives are always on pink slips so he would be in this one . 	0
My final word of advice is this Francis . 	0
Will why do n't you sit down ? 	0
Who are you ? 	0
The one that came out with her . 	0
Then I think you should get one . 	0
And it 'll be just as good tomorrow . 	0
I 'll see you tomorrow . 	0
Check it out . 	0
Gentlemen come on . 	0
[LOCATION] and [ORGANIZATION] my office . Now . 	0
[LOCATION] ... 	0
I 'm looking for [ORGANIZATION] . 	0
Others ran . 	0
[LOCATION] . $ 2000 . 	0
[PERSON] I 'm out of here . 	0
[PERSON] [ORGANIZATION] ! 	0
